
At 17:23:57 9/25/97, lcsc3142.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 20:06:19 2/12/98, pc-sheila.kthlab.mcmaster.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01C-NSCP  (Win95; I).
At 15:52:32 2/13/98, r70h45.res.gatech.edu came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 18:41:06 2/13/98, 204.168.92.50 came here from http://miso.wwa.com/~eaton//jce98/ using Mozilla/4.04 [en] (Win95; I).
At 18:52:43 2/13/98, 204.168.92.50 came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 02:10:07 2/14/98, bbn-cache-3.cisco.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0Gold (X11; I; HP-UX A.09.05 9000/712).
At 10:35:00 2/14/98, g20.dt.uh.edu came here from http://miso.wwa.com/~eaton//jce98/ using Mozilla/3.01Gold (Win95; I).
At 11:23:49 2/14/98, pc2569.princeton.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; I).
At 15:44:14 2/14/98, ww-tf02.proxy.aol.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; AOL 3.0; Windows 95).
At 15:54:00 2/14/98, ww-tf02.proxy.aol.com came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; AOL 3.0; Windows 95).
At 19:54:34 2/14/98, 103.new-york-16.ny.dial-access.att.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/1.22ATT (Windows; U; 16bit).
At 21:28:42 2/15/98, dial113.werewolf.net came here from  using Mozilla/4.04 [en] (Win95; U).
At 01:29:01 2/16/98, dial33.phoenix.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0 (Win95; U).
At 02:38:20 2/16/98, templeton-bbn.infoseek.com came here from  using InfoSeek Sidewinder/0.9.
At 10:49:05 2/16/98, 207.155.185.102 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0C-GZone  (Win95; I).
At 06:43:10 2/17/98, dcp4-36.msp.infi.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 16:15:54 2/18/98, hd36-222.hil.compuserve.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 00:08:36 2/20/98, pmnac1-18.inu.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.01; Windows 95).
At 01:20:45 2/23/98, 167.24.104.45 came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; Update a; AK; Windows 95).
At 21:54:18 2/23/98, poolx2-008.wwa.com came here from http://miso.wwa.com/~eaton//nexus/themes.html using Mozilla/4.04 [en] (Win95; I).
At 23:19:50 2/23/98, a072.tc-1.cmh-icg.infinet.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 10:24:10 2/24/98, dhcp-148-81.rowan.edu came here from http://miso.wwa.com/~eaton// using Mozilla/3.01 (Win95; I).
At 14:40:06 2/24/98, ppp121-pm-p4.tcsn.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 15:43:01 2/24/98, comm12.comm.arizona.edu came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 09:33:23 2/25/98, 1cust5.max18.new-york.ny.ms.uu.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; U).
At 11:13:35 2/25/98, ppp-32-17.itc.virginia.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 12:00:44 2/25/98, webgate3.mot.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (WinNT; I).
At 15:15:51 2/26/98, firewall.cccpp.com came here from http://www.otaking.org/percy/percy.html using Mozilla/4.04 [en] (Win95; I).
At 20:20:08 2/26/98, remote8.htc.honeywell.com came here from http://miso.wwa.com/~eaton// using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 15:12:55 3/01/98, 1cust17.max9.washington.dc.ms.uu.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; MSN 2.5; Windows 95).
At 15:18:06 3/01/98, 1cust17.max9.washington.dc.ms.uu.net came here from http://miso.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.0; MSN 2.5; Windows 95).
At 18:22:17 3/02/98, ts4p27.fea.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I ;Nav).
At 14:47:28 3/03/98, ppp-22.ts-2.mor.idt.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 14:49:58 3/03/98, ppp-22.ts-2.mor.idt.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 14:50:58 3/03/98, ppp-22.ts-2.mor.idt.net came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; I).
At 16:12:38 3/03/98, ppp-22.ts-2.mor.idt.net came here from http://miso.wwa.com/~eaton/ using Mozilla/4.01 [en] (Win95; I).
At 15:43:18 3/05/98, 136.223.6.70 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.04Gold (Win95; I).
At 15:45:22 3/05/98, 136.223.6.70 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.04Gold (Win95; I).
At 21:11:56 3/05/98, 139.146.205.107 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 23:55:35 3/05/98, dialin-36.mattoon.ccipost.net came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; U).
At 05:50:37 3/07/98, 204.162.98.90 came here from  using InfoSeek Sidewinder/0.9.
At 11:49:58 3/07/98, pm10u.icx.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; SK; Windows 95).
At 13:31:53 3/07/98, hnc2.hnc.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (WinNT; U).
At 14:17:52 3/07/98, bbn-cache-3.cisco.com came here from http://www.otaking.org/~percy/ using Mozilla/4.03C-CISCOENG [en] (X11; U; SunOS 5.5.1 sun4m).
At 14:56:06 3/07/98, 209.49.168.43 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (Win95; I).
At 09:10:45 3/08/98, ns.eenet.ee came here from http://miso.wwa.com/~eaton//jce98/ using Lynx/2.7.2 libwww-FM/2.14.
At 14:45:44 3/08/98, ryoko.otaking.org came here from  using Mozilla/2.0 (compatible; MSIE 3.01; Windows 95).
At 08:37:35 3/09/98, f182-100.net.wisc.edu came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.03 [en] (Win95; I ;Nav).
At 14:15:00 3/09/98, user95.northcentral.k12.ia.us came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (Macintosh; I; 68K).
At 05:02:19 3/10/98, rover.ascpl.lib.oh.us came here from http://www.otaking.org/~nexus/Theme-Index.html using Lynx/2-4-2  libwww/2.14.
At 09:21:40 3/11/98, 155.42.43.243 came here from http://miso.wwa.com/~eaton/jce98/ using Mozilla/3.02 (Macintosh; I; PPC).
At 12:31:50 3/11/98, desm-06-06.dialup.netins.net came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 14:28:10 3/11/98, pm8-31.wmbg.widomaker.com came here from http://miso.wwa.com/~eaton// using Mozilla/4.03 [en] (Win95; I).
At 23:51:48 3/11/98, m4.brookings.net came here from http://www.trail.com/~zugg/zmud.htm using Mozilla/2.0 (compatible; MSIE 2.1;  Windows 3.1).
At 23:56:53 3/11/98, m4.brookings.net came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 2.1;  Windows 3.1).
At 18:58:13 3/12/98, 131.187.131.179 came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Update a; Windows 95).
At 17:31:34 3/13/98, 1cust76.max7.portland2.or.ms.uu.net came here from http://www.otaking.org/otaking/rp/ using Mozilla/3.02 (Win95; I).
At 17:55:35 3/13/98, 1cust76.max7.portland2.or.ms.uu.net came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.02 (Win95; I).
At 18:05:11 3/13/98, 207-172-57-65.s65.tnt2.ann.erols.com came here from  using Pueblo 2.01, Microsoft Win95 4.00, Intel Pentium, Winsock Version 1.01, Description : Microsoft Windows Sockets Version 1.1..
At 18:06:22 3/13/98, 207-172-57-65.s65.tnt2.ann.erols.com came here from  using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 17:41:34 3/14/98, ww-te02.proxy.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; Update a; AOL 4.0; Windows 95).
At 14:54:06 3/15/98, dialup90-4-42.swipnet.se came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 18:15:44 3/15/98, tnt1-7.hiwaay.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 18:35:26 3/15/98, tnt1-7.hiwaay.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 16:22:33 3/16/98, ww-pa01.proxy.aol.com came here from  using Mozilla/2.0 (compatible; MSIE 2.1; AOL 3.0; Mac_PPC).
At 17:15:43 3/16/98, dialin544.toronto.globalserve.net came here from  using Pueblo 2.01, Microsoft Win95 4.00, Intel Pentium, Winsock Version 1.01, Description : Microsoft Windows Sockets Version 1.1..
At 17:15:44 3/16/98, dialin544.toronto.globalserve.net came here from  using Mozilla/4.04 [en] (Win95; I).
At 01:49:37 3/17/98, j2007.inktomi.com came here from  using Slurp/2.0 (slurp@inktomi.com; http://www.inktomi.com/slurp.html).
At 10:22:04 3/17/98, rub072.tv00.ne.interbusiness.it came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Windows 95).
At 22:27:54 3/17/98, ppp43.llc.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 15:01:53 3/18/98, dialin2459.toronto.globalserve.net came here from  using Mozilla/4.04 [en] (Win95; I).
At 00:02:30 3/19/98, 207.244.32.123 came here from http://miso.wwa.com/~eaton//rp/ using Mozilla/4.0 (compatible; MSIE 4.01; Windows 95).
At 01:29:19 3/20/98, acs4.bu.edu came here from http://miso.wwa.com/~eaton// using Mozilla/4.04 [en] (X11; I; AIX 4.1).
At 17:23:45 3/20/98, firewall.cccpp.com came here from http://miso.wwa.com/~eaton// using Mozilla/4.04 [en] (Win95; I).
At 21:45:44 3/20/98, lab3sta27.latech.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.03 [en] (Win95; I).
At 07:49:52 3/21/98, bbn-cache-3.cisco.com came here from http://miso.wwa.com/~eaton// using Mozilla/3.01 (X11; I; HP-UX B.10.01 9000/712).
At 21:08:19 3/21/98, 204.168.92.50 came here from http://miso.wwa.com/~eaton//jce98/ using Mozilla/4.04 [en] (Win95; I).
At 21:15:35 3/21/98, 204.168.92.50 came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 05:50:59 3/25/98, crawl3.atext.com came here from  using ArchitextSpider.
At 06:42:16 3/27/98, bbn-cache-4.cisco.com came here from http://www.otaking.org/percy/ using Mozilla/3.04C-CISCOIS8  (Win95; U).
At 06:47:45 3/27/98, bbn-cache-4.cisco.com came here from http://www.otaking.org/percy/index.html using Mozilla/3.01 (Win95; U).
At 00:22:27 3/28/98, pcp52.datasync.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; U).
At 10:55:04 3/28/98, rgfn.epcc.edu came here from http://www.otaking.org/~nexus/Theme-Index.html using Lynx/2.7.1f libwww-FM/2.14.
At 01:38:21 3/29/98, 1cust248.tnt1.honolulu.hi.da.uu.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I ;Nav).
At 02:04:42 3/29/98, 193.68.138.117 came here from http://www.wwa.com/~eaton/ using Mozilla/3.02Gold (Win16; I).
At 15:09:23 3/29/98, ts3-port9.mas.ualberta.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 11:24:24 3/30/98, dialup52.ats.com.au came here from http://www.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 00:26:13 3/31/98, 204.162.98.90 came here from  using InfoSeek Sidewinder/0.9.
At 18:08:54 3/31/98, dialin1102.toronto.globalserve.net came here from  using Mozilla/4.04 [en] (Win95; I).
At 01:30:20 4/01/98, dhcp-28-206.rhodes.edu came here from http://www.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 11:40:04 4/02/98, dialin1548.toronto.globalserve.net came here from  using Mozilla/4.04 [en] (Win95; I).
At 03:12:46 4/03/98, 207.127.153.45 came here from http://www.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 08:19:42 4/04/98, 202.225.196.63 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/1.22 (compatible; MSIE 2.0; Windows 95).
At 06:16:50 4/05/98, 171-7-244.ipt.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 07:26:00 4/05/98, cero.stanford.edu came here from  using BackRub/2.1 backrub@backrub.stanford.edu http://backrub.stanford.edu/.
At 10:36:23 4/05/98, 137.166.16.174 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 15:18:06 4/06/98, syru36-96.syr.edu came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.01 [en] (Win95; I).
At 21:03:43 4/07/98, pm3-dyn14.ccm.net came here from http://www.wwa.com/~eaton/ using Mozilla/4.02 [en]C-DIAL  (Win95; U).
At 16:47:29 4/08/98, mar217.cybrzn.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Windows 95).
At 19:29:22 4/09/98, dyn000997.belt.digex.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.0Gold (Win95; I).
At 18:46:31 4/10/98, poolf2-014.wwa.com came here from http://www.wwa.com/~eaton/ using Mozilla/3.0 (compatible; MSIE 3.01; Mac_68000).
At 20:46:01 4/10/98, usr09.primenet.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Lynx/2.8rel.2 libwww-FM/2.14.
At 20:49:49 4/12/98, poolx1-037.wwa.com came here from http://www.wwa.com/~eaton/ using XH p(Ì$p8RE.
At 10:02:49 4/13/98, poolx1-008.wwa.com came here from http://www.wwa.com/~eaton/ using XH p(Ì$p8RE.
At 10:53:38 4/13/98, havelock-dialup189.havelock-dialup.ncn.net came here from http://www.wwa.com/~eaton/ using Mozilla/4.0 (compatible; MSIE 4.01; Windows 95).
At 11:12:55 4/13/98, pmcnally.avid.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 14:06:32 4/14/98, beelzebub.adams.edu came here from http://www.wwa.com/~eaton/jce98/index.html using Mozilla/4.03 [en] (Win95; I).
At 22:53:54 4/14/98, ppro22.flwlabs.smu.edu came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 04:22:25 4/15/98, dial-126-11.ucs.indiana.edu came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.04 [en] (Win95; I).
At 01:22:20 4/16/98, scooter3.av.pa-x.dec.com came here from  using Scooter/2.0 G.R.A.B. X2.0.
At 12:18:59 4/16/98, irmd19.ric2.epa.gov came here from http://www.wwa.com/~eaton/jce98/ using Mozilla/4.02 [en] (Win95; U).
At 17:36:35 4/16/98, dyn1-tnt1-163.detroit.mi.ameritech.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 20:50:58 4/16/98, dial542.roadrunner.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.0; Windows 95).
At 21:39:00 4/17/98, bbn-cache-2.cisco.com came here from http://www.otaking.org/~percy/ using Mozilla/4.04 [en]C-CISCOIS  (Win95; U).
At 04:10:11 4/18/98, squid.interquest.de came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/2.0 (compatible; MSIE 3.02; Windows 95).
At 06:59:59 4/18/98, usr05.primenet.com came here from http://www.otaking.org/~nexus/Theme-Index.html using Lynx/2.8rel.2 libwww-FM/2.14.
At 13:35:15 4/18/98, ww-th03.proxy.aol.com came here from http://www.wwa.com/%7Eeaton/ using Mozilla/2.0 (compatible; MSIE 3.02; Update a; AOL 4.0; Windows 95).
At 22:57:25 4/18/98, dyn2-tnt2-103.detroit.mi.ameritech.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 02:38:08 4/19/98, srry01m03-211.bctel.ca came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/3.01C-SYMPA  (Win95; U).
At 07:58:14 4/19/98, dyn1-tnt2-212.detroit.mi.ameritech.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 17:55:49 4/19/98, dyn1-tnt3-197.detroit.mi.ameritech.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 17:56:44 4/19/98, dyn1-tnt3-197.detroit.mi.ameritech.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 23:41:18 4/20/98, host-207-53-88-230.jax.bellsouth.net came here from  using Pueblo 2.01, Microsoft Win95 4.00, Intel Pentium, Winsock Version 1.01, Description : Microsoft Windows Sockets Version 1.1..
At 01:07:22 4/21/98, metra.ucc.su.oz.au came here from http://web.wwa.com/~eaton/ using Mozilla/4.05 (Macintosh; I; PPC).
At 01:17:52 4/21/98, 131.156.128.46 came here from http://web.wwa.com/~eaton/ using Mozilla/4.04 [en] (Win95; I).
At 02:22:22 4/21/98, pool1-000.wwa.com came here from  using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 02:23:12 4/21/98, pool1-000.wwa.com came here from  using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 02:24:07 4/21/98, pool1-000.wwa.com came here from  using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 07:08:41 4/21/98, ryoko.otaking.org came here from http://www.wwa.com/~eaton/ using Mozilla/4.05 [en] (Win95; I).
At 09:08:34 4/22/98, ryoko.otaking.org came here from http://www.otaking.org/hope/ using Mozilla/4.05 [en] (Win95; I).
At 15:05:19 4/22/98, 152.163.197.36 came here from http://web.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.0; AOL 3.0; Windows 3.1).
At 15:32:38 4/22/98, darkspace.x-echo.com came here from  using EchO!/2.0.
At 15:41:26 4/22/98, ts51-20.wla.ts.ucla.edu came here from http://miso.wwa.com/~eaton/ using Mozilla/4.04 (Macintosh; I; 68K).
At 16:01:20 4/22/98, 143.200.131.99 came here from http://web.wwa.com/~eaton/ using Mozilla/3.04 (Win16; I).
At 19:33:12 4/22/98, dyn1-tnt3-241.detroit.mi.ameritech.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.02 [en] (Win95; I).
At 19:50:37 4/22/98, dyn1-tnt3-241.detroit.mi.ameritech.net came here from  using Mozilla/4.02 [en] (Win95; I).
At 05:27:19 4/23/98, dap-132-71.pgh.sgi.net came here from http://www.otaking.org/~nexus/Theme-Index.html using Mozilla/4.0 (compatible; MSIE 4.0; Windows 95).
At 13:00:00 4/23/98, slip-10.bard.edu came here from http://www.wwa.com/~eaton/ using Mozilla/3.0 (Win16; I).
